"연번","비상소화장치일련번호","일련번호","X좌표","Y좌표","비상소화장치고유번호","사용구분","삭제여부","업데이트날짜"
"1494","110080561","653","198262.26627877","553806.28372857","1-04","52201","N","20231111120009"
"1495","110080563","654","198522.29658950","553656.65508859","3-20","52201","N","20231022120010"
"1496","110080565","655","198157.01435252","550845.50723977","000393","52201","N","20231101120003"
"1497","110080566","656","200043.44352586","552226.19146702","4-01","52201","N","20231027120009"
"1498","110082434","1007","211145.39297205","541099.27723352","000015","52201","N","20231026120008"
"1499","110082438","1009","186870.57420013","546248.59338963","036","52201","N","20231012120004"
"1500","110082439","1010","188157.32110392","549181.74054518","037","52201","N","20231117120006"
"1501","110080782","1104","200843.29556885","553351.55619625","6-45","52201","N","20231116120041"
"1502","110080783","1105","201016.21826836","553086.13163432","6-51","52201","N","20231116120041"
"1503","110080784","1106","201102.26586662","553074.23221476","6-52","52201","N","20231031120006"
"1504","110080785","1107","201046.31912952","552696.26458166","6-60","52201","N","20231116120041"
"1505","110080787","1109","200355.24253031","550239.32435574","13","52201","N","20231024120006"
"1506","110080788","1110","199516.89216115","550582.36107184","000014","52201","N","20231101120003"
"1507","110080790","1112","200496.73947047","550063.13449803","19","52201","N","20231024120006"
"1508","110080791","1113","200754.38731793","551313.93337580","000015","52201","N","20231027120009"
"1509","110080792","1114","201776.09012988","552548.23489472","6-31","52201","N","20231024120006"
"1510","110080794","1115","200816.35073512","550280.51476483","18","52201","N","20231024120006"
"1511","110080795","1116","201221.24749074","553028.85932402","6-64","52201","N","20231031120006"
"1512","110080796","1117","201800.96173166","553116.39297759","6-01","52201","N","20231103120009"
"1513","110080798","1119","200730.65269939","552875.96039951","6-44","52201","N","20231116120041"
"1514","110080799","1120","200686.59545966","553033.92519935","4-07","52201","N","20231002120010"
"1515","110080800","1121","199517.57424212","551519.51238009","000025","52201","N","20231115120002"
"1516","110080801","1122","200438.05544476","550121.24771789","24","52201","N","20231024120006"
"1517","110080802","1123","200852.55466535","553253.06212339","6-35","52201","N","20231116120041"
"1518","110080804","1125","200819.68913596","551200.34711803","000035","52201","N","20231027120009"
"1519","110080806","1127","201057.62099768","552342.45679399","6-15","52202","N","20231108120004"
"1520","110080807","1128","201121.60714976","552354.40947616","6-17","52201","N","20231108120004"
"1521","110080808","1129","201290.91810364","552349.05292193","6-24","52201","N","20231105120007"
"1522","110080809","1130","201252.92816637","552437.05903124","6-25","52201","N","20231105120007"
"1523","110080810","1131","201058.42281536","552409.64386509","6-14","52201","N","20231108120004"
"1524","110080811","1132","200528.55983170","553104.69212326","4-08","52201","N","20231002120010"
"1525","110080812","1133","200151.62415292","551055.61872644","000039","52201","N","20231101120003"
