연도,화재총합(건),실화(건),방화(건),기타(건),소실면적(m²),피해액총합(천원),부동산피해(천원),동산피해(천원),인명피해합(명),사망총합(명),부상총합(명)
2023-01-01,543,389,10,49,"1,567","2,132,169","628,838","769,689",19,0,19
2023-02-01,494,383,10,46,"7,800","1,014,976","515,574","816,273",22,4,18
2023-03-01,535,348,15,44,"3,176","2,023,208","761,520","1,361,145",17,1,16
2023-04-01,451,435,9,57,"3,932","1,424,281","678,885","1,322,155",24,3,21
2023-05-01,487,472,14,45,"2,745","1,012,309","594,564","665,948",16,0,16
2023-06-01,439,372,9,39,"2,798","966,739","423,530","483,578",24,1,23
2023-07-01,461,422,7,40,"1,470","919,022","489,159","866,620",18,2,16
2023-08-01,450,390,2,40,922,"1,083,718","458,213","703,036",24,0,24
2023-09-01,427,373,8,35,"1,321","936,333","462,555","725,792",31,2,29
2023-10-01,418,370,10,35,"1,012","1,189,566","325,443","446,142",24,2,22
2023-11-01,456,324,5,39,"4,498","2,333,341","590,805","806,901",30,4,26
2023-12-01,510,478,10,62,"2,824","1,504,252","685,885","1,010,301",58,5,53
